964 0364         ,*,90 4 391 1      ,070,14444 ,   ,009413             ,V201,   , 1 25,    1882, 6/01/16,     120, ,0000,      ,    1062,    24.9800,    36.0000,    25.9043
964 0364         , ,90 4 391 1      ,070,14444 ,   ,009413             ,V201,   , 1 25,    1882, 9/01/16,     120, ,0000,      ,    1062,    24.9800,    36.0000,    25.9043
E 7641           , ,E 7641          ,095,00158 ,XE ,001SUFF            ,V999,   , 9 28,     600, 5/30/16,     300, ,0000,      ,        ,     1.8000,     1.9500,     1.8783
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 4/25/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 5/02/16,      90, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 5/09/16,     270, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 5/16/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 5/23/16,     180, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 5/30/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 6/06/16,      90, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 6/27/16,     180, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 7/04/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 7/18/16,      90, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 7/25/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 8/01/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 8/08/16,      90, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 8/15/16,     225, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 8/22/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 9/05/16,      90, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 9/12/16,     135, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 9/19/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 9/26/16,      90, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720,10/03/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720,10/10/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720,10/17/16,      90, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720,10/24/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720,10/31/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720,11/07/16,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720,11/14/16,      90, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720,12/12/16,     180, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 1/30/17,     225, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 2/27/17,     315, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HA102            , ,HA102           ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     720, 3/27/17,      45, ,0000,      ,      90,     5.5500,     6.0000,     5.7914
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 5/09/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 6/06/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 6/13/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 6/27/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 7/25/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 8/08/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 8/22/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 9/05/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
